id,username,created_at,lng,lat,text
1517704905104162816,CobraTucson,Sat Apr 23 03:20:21 +0000 2022,-110.97004,32.2222,Just posted a photo @ Cobra Arcade Tucson https://t.co/iPOyIx4aXT
1517704905326096385,maddiejpearson,Sat Apr 23 03:20:21 +0000 2022,-117.434547,47.667438,@seh221 isn’t it amazing!! i cried the whole way through
1517704906420989952,24thminute,Sat Apr 23 03:20:21 +0000 2022,-79.2725695,43.629311,Don Cherry is trending so I assume dumb people are big mad that an old man no longer yells at them for not keeping… https://t.co/md22aBtNXg
1517704907939229696,greg_fann,Sat Apr 23 03:20:22 +0000 2022,-117.1195165,33.501021,@ACA_talk People in authority make bad decisions and consumers are harmed because of lies like this.
1517704908023115778,BostonMarketJob,Sat Apr 23 03:20:22 +0000 2022,-119.7937573,39.4806307,"Feed your future, not just a time clock. This Cashier-Restaurant Team Member position could be a significant next s… https://t.co/jwWYwmrQ7s"
1517704907041640448,BradEYoung,Sat Apr 23 03:20:22 +0000 2022,-118.4119065,34.0207895,Had so much fun at the LA premiere of @BillyTheKidEPIX last night! Presented by @EPIXHD &amp; @VanityFair here’s a snea… https://t.co/jUzR9PMH2p
1517704911840026624,nolafootfreak01,Sat Apr 23 03:20:23 +0000 2022,-90.1786295,30.001244,@Kingdhungloww I want to 👅
1517704912859148289,roomateagencyHQ,Sat Apr 23 03:20:23 +0000 2022,-117.772917,34.0654505,who needs a bartender
1517704913165467649,PhilJonesNFL,Sat Apr 23 03:20:23 +0000 2022,-76.74663849999999,38.9637825,@ComatoseSosa Hold up three days!?!?!?!? https://t.co/afAAK9JlZY
1517704912775360513,JohninSouthKC,Sat Apr 23 03:20:23 +0000 2022,-94.5592815,39.1000485,This guy held a protest at Wornall and 75th today protesting the potholes on Wornall. Good for Frank. Wornall needs… https://t.co/KwbjpddATi
1517704914092187648,test5geo1798,Sat Apr 23 03:20:23 +0000 2022,-118.4119065,34.0207895,TEST_GEO_Hierarchy: ccba6903-088d-4406-8f72-7c90bb766bd3
1517704914536960000,MartellQuiet,Sat Apr 23 03:20:23 +0000 2022,-80.649699,28.117874,"@MoeSargi So glad to hear that your doing better, was worried about you.Prayers and Blessing to you and your loving family.Much love Moe"
1517704914906095616,TomDutta,Sat Apr 23 03:20:23 +0000 2022,-123.1204,49.2819,"Just posted a photo @ Vancouver, British Columbia https://t.co/KYLbloc7Fh"
1517704916130742272,JDMoran_MT,Sat Apr 23 03:20:24 +0000 2022,-86.1429225,39.7795625,@RaphaelEivots @indyindians They only wear 🖤💛 a few times a year cool to see the colors in Indy.
1517704916281794566,iamblkorchid,Sat Apr 23 03:20:24 +0000 2022,-79.9135205,43.2606955,Amazing night for sure!!
1517704917150048256,HyunSooKim25,Sat Apr 23 03:20:24 +0000 2022,-80.926628,33.6311395,I miss the old Cedric Mullins
1517704916931817476,Strickalator,Sat Apr 23 03:20:24 +0000 2022,-157.799589,21.3199435,@ManuIntiraymi Saddle Up! 🐴🐴☮️ https://t.co/7ojWzr7A0A
1517704917808517125,kayewhitehead,Sat Apr 23 03:20:24 +0000 2022,-76.62048200000001,39.284712999999996,I swear I don’t understand these prom dresses: it’s either that or I’m just getting old
1517704918139908096,kat_films,Sat Apr 23 03:20:24 +0000 2022,-71.1486405,41.6861005,"#FF one of my favorite actresses. The hard working, so very talented @rebekahkennedy &amp; her fella her, rock, the gre… https://t.co/UDLaBF9azc"
1517704918731304963,ZodiacAllstarz,Sat Apr 23 03:20:24 +0000 2022,-81.46947294,28.42487824,Mint are your allstar world champions! Perfect 🔟s you SMASHED IT 💚 #IWIWAMG #zodiacallstars #asw22 #letsgozodiacs… https://t.co/fsVB0wxiBZ
1517704919964217344,silverorca007,Sat Apr 23 03:20:25 +0000 2022,-118.130426,33.9376735,@TheRickWilson He is absolutely correct it’s a fight between right and wrong.  The have nots against the haves
1517704920832618498,theemitchuation,Sat Apr 23 03:20:25 +0000 2022,-96.621634,32.907642,@WalkerBailey8 I just want to be patient. It’s a been a dark long road. But I like the direction they’re in. And a… https://t.co/nnVK41E3DY
1517704920878796802,WestCampusHoops,Sat Apr 23 03:20:25 +0000 2022,-98.5406515,29.417501,The West Campus Basketball Youth League has been postponed for this Saturday… The West Campus High School basketbal… https://t.co/ph5Oq8ptb1
1517704922397130752,iamCammyJ,Sat Apr 23 03:20:25 +0000 2022,-89.92202900000001,35.1335205,Dat muh fucka healthy healthy
1517704923282128898,GVBulldogsTF,Sat Apr 23 03:20:25 +0000 2022,-94.52555100000001,38.8759335,Congratulations to @EssenceK10 &amp; @Inferno154 for once again resetting the school records in Javelin tonight at the… https://t.co/0np13TG9Gn
1517704924020236288,dose17,Sat Apr 23 03:20:26 +0000 2022,-93.2050555,45.165333000000004,Two outrageously unrepeatable Twins wins but I love it
1517704924099919873,Robbytat17,Sat Apr 23 03:20:26 +0000 2022,-75.3864605,39.1450235,@CoadyKeller1 @MiamiOHFootball Wow…. How things have changed since the 90’s!!  Would love to see my son as a “Redhawk” @Robbytat17
1517704925639237632,AaronRWillams1,Sat Apr 23 03:20:26 +0000 2022,-88.44738749999999,43.7625525,@garyvee Check out my Opensea Account Gary! I’ve never sold a thing! Scare to do so! 🙏https://t.co/Np5me0lGv5
1517704925979021312,Aye_Pain,Sat Apr 23 03:20:26 +0000 2022,-87.732013,41.8335845,@Prince_Jaaffy @Bucks 😭😭😭😭 hell yeah. You was in the Jeep?
1517704926197174272,slickjones37,Sat Apr 23 03:20:26 +0000 2022,-89.87644900000001,32.571032,Obama needs GITMO as a traitor
1517704926687682561,kyounger_CTES,Sat Apr 23 03:20:26 +0000 2022,-100.0768885,31.1688935,"I purchased these on Amazon, they are not all sharks but they went with the theme. We researched sharks, and facts… https://t.co/psgRJmoxdx"
1517704928252243968,blasianBronson,Sat Apr 23 03:20:27 +0000 2022,-119.7824645,36.786041999999995,Anyone here care about war hammer or am I jus a loser ? https://t.co/X6I0gHeZyH
1517704929623871488,g__sis,Sat Apr 23 03:20:27 +0000 2022,-80.244984,36.087168500000004,PRAISE THE LORD! HE HAS RISEN!
1517704930177523712,SK8nSkiTony,Sat Apr 23 03:20:27 +0000 2022,-87.4098795,46.5496655,Local music...live!!You're not here but we are. The Thirties https://t.co/1g6dMFwLzN
1517704934816419840,HarrisLue,Sat Apr 23 03:20:28 +0000 2022,-80.9794695,35.464132500000005,@JGravleySPORTS @NCSHOF Two legends 👏👏👏
1517704935625748480,kyounger_CTES,Sat Apr 23 03:20:28 +0000 2022,-100.0768885,31.1688935,@Deebookreader I added what I did to this tweet
1517704936192151552,Ra_Rubio,Sat Apr 23 03:20:29 +0000 2022,-73.8311875,40.6708795,@RalphieRozay Enjoy chef!!
1517704935898558465,stu_rush,Sat Apr 23 03:20:28 +0000 2022,-77.16310250000001,39.08705500000001,@JomboyMedia The Nats should know better than anyone that it's possible to come back from six down in the ninth. I'… https://t.co/Sp7oxLZQ0r
1517704936678592512,iembot_gid,Sat Apr 23 03:20:29 +0000 2022,-98.319925,38.498196,"At 9:58 PM CDT, 6 SSW Stockton [Rooks Co, KS] AWOS reports NON-TSTM WND GST of M59 MPH. AWOS STATION RCP9. ROOKS CO… https://t.co/as4VBMz1dk"
1517704937991335937,Murphh93,Sat Apr 23 03:20:29 +0000 2022,-121.3496435,38.6867945,@chatsandbets Fury round 4 ko
1517704939446968321,JonDowding,Sat Apr 23 03:20:29 +0000 2022,-76.355918,36.841764,@dustizzl @kaiceybaylor My thoughts exactly 🤣
1517704940013203457,albino_lucinda,Sat Apr 23 03:20:29 +0000 2022,-73.9685415,40.780709,@shanianottwain2 I am compiling a list of deceased that I will offer Masses for. Can I ask their names?
1517704940319383553,ComradeDucky,Sat Apr 23 03:20:30 +0000 2022,-86.441236,39.766555499999996,@ACaffeinatedGay Hugs
